PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
14,5/18/2024,11:10.3,4,4,"Rodriguez, Luke",10103796,Right,UCLA,"Saum, Charlie",691793,Right,STA_CAR,Undefined,1,Top,1,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.84093,-1.703841,-1.737203,3022.315769,110.575118,9:45,6.50088,0.7765,5.09868,-37.79278,3.85449,-7.08933,1.74458,-1.45191,76.89826,-8.52357,-2.992127,0.464477,,,,,,,,,,,,3.12689,2.66898,-0.60644,50,6.3099,3.94141,-120.26441,-4.96248,4.61645,21.5657,-28.23364,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,633e1170-154a-11ef-8e6c-cd53dcddf2e2,81.1502,,,5.94267,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,11:10.3,2024-05-18T12:11:10.2782680-07:00,2024-05-18T19:11:10.2782680Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,1010bf77-bbe6-4619-beaa-c3ad05326c00,55.40649,-121.23002,10.78285,6.50379,-3.69832,-14.11682,-0.77829,3.7347,2.30823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,159.836706,80.211947,513.805863,0.170004,11:15,-0.991134,0.029274,-0.129598,69.413457,24.832095,69.027966,165.895866,-5.194417,0.242684,-0.090536,-0.965871,5.354948,-14.04502,0.090536,-0.242684,0.965871,-5.354948,14.04502,-0.090536,0.242684,0.965871,-165.895866,5.194417,-0.242684,0.090536,-0.965871
15,5/18/2024,11:33.2,4,5,"Rodriguez, Luke",10103796,Right,UCLA,"Saum, Charlie",691793,Right,STA_CAR,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.46968,-2.324655,-3.818858,2572.986577,191.341981,12:30,6.5611,0.60808,5.41316,-19.2882,15.0908,2.79256,2.76973,-2.74242,83.16968,-5.927697,-3.32393,0.422005,,,,,,,,,,,,-2.52665,8.615,-0.26983,50,6.3406,8.70201,-132.30304,-6.04395,-4.45282,29.73374,-16.99152,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,70f592c0-154a-11ef-8e6c-cd53dcddf2e2,89.31749,,,8.3,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,11:33.3,2024-05-18T12:11:33.2534488-07:00,2024-05-18T19:11:33.2534488Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,55163983-f3a5-4dfe-ba70-d526a1c955ee,55.08738,-133.44148,14.86687,6.55955,-5.39339,-8.49576,-0.60627,8.8725,-2.22641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,211.149543,42.666393,1891.948535,0.735312,1:00,-0.702186,-0.407534,-0.583824,-56.786904,6.510052,-41.057061,168.789763,-5.111763,0.193636,-0.089099,-0.977019,5.210648,-11.165077,0.089099,-0.193636,0.977019,-5.210648,11.165077,-0.089099,0.193636,0.977019,-168.789763,5.111763,-0.193636,0.089099,-0.977019
16,5/18/2024,11:53.3,4,6,"Rodriguez, Luke",10103796,Right,UCLA,"Saum, Charlie",691793,Right,STA_CAR,Undefined,1,Top,1,2,2,Slider,Slider,InPlay,Undefined,Popup,Single,0,1,,84.63109,-0.706756,-1.572316,2697.101724,118.970771,10:00,6.55075,0.54386,5.31244,-34.48443,5.2963,-7.37784,3.01336,-1.54721,77.86949,-6.999978,-2.882426,0.45395,74.13544,27.32675,6.392408,2213.844824,108.62826,41.78279,17.31731,256.6276,256.6276,10.969991,3.548204,3.30213,3.18358,-0.39551,50,6.46148,3.68168,-122.86571,-2.75823,5.05702,23.92411,-27.29859,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,7ce32980-154a-11ef-8e6c-cd53dcddf2e2,83.03219,44.01386,,6.7616,,,,1.84907,3.08193,1.52506,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,11:53.3,2024-05-18T12:11:53.2843736-07:00,2024-05-18T19:11:53.2843736Z,FlyBall,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,6ebd9985-afd7-40d3-ad74-e9475949b91f,55.19159,-123.87248,11.96205,6.55338,-1.60945,-13.6493,-0.54596,3.46887,2.52851,205.304854,1.8487,96.01041,-13.20709,3.1065,-0.84409,0.29289,-0.08907,0.016,-0.00117,3.08244,49.89698,-16.17051,0.49489,0.24617,-0.21705,0.08166,-0.01473,0.00102,1.52504,10.75534,1.6592,-0.50167,0.1168,-0.02015,0.00227,-0.00019,1.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,178.847307,75.979041,653.44523,0.242277,12:00,-0.976475,-0.007094,-0.215516,42.766635,57.103223,48.956046,170.150696,-5.130194,0.170372,-0.089419,-0.981314,5.20652,-9.809457,0.089419,-0.170372,0.981314,-5.20652,9.809457,-0.089419,0.170372,0.981314,-170.150696,5.130194,-0.170372,0.089419,-0.981314
17,5/18/2024,12:47.8,5,1,"Rodriguez, Luke",10103796,Right,UCLA,"Moore, Malcolm",702270,Left,STA_CAR,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.75187,0.618681,0.232159,2577.380187,20.943111,6:45,6.59231,0.32318,4.83146,-67.72248,-16.29647,-6.93111,1.53473,-0.03454,69.13974,-11.510296,-0.993676,0.516134,,,,,,,,,,,,3.47831,-7.64465,-0.33995,50,6.59517,-0.16012,-109.80737,-1.29889,4.17092,22.68894,-41.34087,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,9d724690-154a-11ef-8e6c-cd53dcddf2e2,73.02834,,,6.61213,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,12:47.8,2024-05-18T12:12:47.8015704-07:00,2024-05-18T19:12:47.8015704Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,3f8ad648-cfa8-45b8-8f9d-82cf409cae8e,55.67427,-110.97362,11.34447,6.60733,0.82611,-20.67043,-0.32621,-0.37451,2.08546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,16.738125,44.243865,1846.374985,0.716377,6:30,-0.698219,0.213837,0.683201,-55.55528,11.091,76.910569,171.436314,4.72633,0.148402,0.082397,-0.985488,4.779373,8.534349,0.082397,0.148402,0.985488,-4.779373,-8.534349,-0.082397,-0.148402,0.985488,-171.436314,-4.72633,-0.148402,-0.082397,-0.985488
18,5/18/2024,13:06.0,5,2,"Rodriguez, Luke",10103796,Right,UCLA,"Moore, Malcolm",702270,Left,STA_CAR,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.04246,-3.236858,-2.887108,2317.252783,225.466928,1:30,6.19989,0.73934,5.70005,-23.34777,19.17627,17.89741,1.23077,-0.46198,74.27812,-7.632757,0.311688,0.469341,,,,,,,,,,,,-9.96564,11.21111,-0.50795,50,5.91325,5.25928,-118.67781,-7.39378,-14.02888,25.45722,-16.3919,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,a8401570-154a-11ef-8e6c-cd53dcddf2e2,80.30925,,,7.76434,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,13:06.0,2024-05-18T12:13:06.0016856-07:00,2024-05-18T19:13:06.0016856Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,853dfb01-2df3-40d9-9575-5965b874609b,54.8003,-119.70307,12.72861,6.19773,-6.73361,-8.19595,-0.73114,5.82428,-7.01444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,233.282417,-4.788867,2309.163486,0.996509,1:45,0.098282,-0.792806,-0.601498,-36.183011,-21.426971,-27.011006,168.591835,-6.151503,0.196658,-0.107158,-0.974599,6.274509,-11.341602,0.107158,-0.196658,0.974599,-6.274509,11.341602,-0.107158,0.196658,0.974599,-168.591835,6.151503,-0.196658,0.107158,-0.974599
19,5/18/2024,13:24.8,5,3,"Rodriguez, Luke",10103796,Right,UCLA,"Moore, Malcolm",702270,Left,STA_CAR,Undefined,1,Top,1,2,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.82632,-2.38513,-0.622946,2674.21468,133.025155,10:30,6.51196,0.65731,5.13717,-32.85222,6.99642,-6.19433,1.52671,-0.44555,78.28951,-8.345398,-1.721078,0.454337,,,,,,,,,,,,2.92429,4.495,-0.59388,50,6.26282,1.60739,-123.05417,-6.3401,4.50156,23.51671,-25.25461,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,b3727280-154a-11ef-8e6c-cd53dcddf2e2,82.96139,,,6.53681,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,13:24.8,2024-05-18T12:13:24.7602904-07:00,2024-05-18T19:13:24.7602904Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,78b6e944-4090-4e6c-9d9e-b51a38415c91,55.36558,-124.07534,11.75835,6.51432,-5.24346,-12.6273,-0.65944,1.41192,2.25078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,175.970067,74.895794,696.834524,0.260575,11:45,-0.968148,-0.021882,-0.24942,66.704329,27.035319,69.319045,167.927259,0.003764,0.209153,6.60E-05,-0.977883,0.00385,12.072741,6.60E-05,0.209153,0.977883,-0.00385,-12.072741,-6.60E-05,-0.209153,0.977883,-167.927259,-0.003764,-0.209153,-6.60E-05,-0.977883
20,5/18/2024,13:43.6,5,4,"Rodriguez, Luke",10103796,Right,UCLA,"Moore, Malcolm",702270,Left,STA_CAR,Undefined,1,Top,1,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,91.2779,-1.556162,-0.081331,2500.32428,197.373828,12:30,6.71738,0.50203,4.93458,-17.67406,17.45493,5.07418,3.7732,0.848,82.53654,-4.87083,0.813445,0.426584,,,,,,,,,,,,-2.51181,9.43359,-0.49849,50,6.55202,-0.06372,-132.18796,-4.21252,-4.40163,30.70893,-15.64299,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,bea56bd0-154a-11ef-8e6c-cd53dcddf2e2,88.35888,,,8.74136,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,13:43.6,2024-05-18T12:13:43.6289752-07:00,2024-05-18T19:13:43.6289752Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,7940d9df-51c8-4225-923d-99f92ba29e31,55.56408,-133.47431,15.35447,6.71475,-3.55726,-7.8215,-0.49968,0.12066,-2.20082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,208.815985,40.835229,1891.728222,0.756593,1:00,-0.644682,-0.382299,-0.661991,-31.394799,30.618106,-10.488813,171.460989,-1.450627,0.148435,-0.025316,-0.988598,1.466881,-8.536253,0.025316,-0.148435,0.988598,-1.466881,8.536253,-0.025316,0.148435,0.988598,-171.460989,1.450627,-0.148435,0.025316,-0.988598
21,5/18/2024,15:10.1,6,1,"Rodriguez, Luke",10103796,Right,UCLA,"Lavin, Luke",806138,Left,STA_CAR,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.35855,-2.70147,-0.94121,2585.463945,118.452618,10:00,6.45064,0.98185,5.16332,-36.11065,5.17398,-7.21689,0.89639,-0.50557,77.04416,-9.229297,-2.221709,0.462451,,,,,,,,,,,,3.3741,3.66878,-0.88815,50,6.17055,2.28854,-120.90109,-7.01814,5.00637,23.02775,-26.73033,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,f23b23e0-154a-11ef-8e6c-cd53dcddf2e2,81.50584,,,6.31439,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,15:10.1,2024-05-18T12:15:10.0917464-07:00,2024-05-18T19:15:10.0917464Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,aff44540-3feb-4d7f-a780-f0644ca7b82a,55.34065,-121.91407,11.51388,6.45341,-5.84229,-13.36516,-0.98398,2.06831,2.50319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,185.402431,77.598676,555.248791,0.214758,12:15,-0.978009,-0.066229,-0.197765,67.963,27.448193,76.75733,170.49038,-3.756626,0.164858,-0.065519,-0.984139,3.808817,-9.488998,0.065519,-0.164858,0.984139,-3.808817,9.488998,-0.065519,0.164858,0.984139,-170.49038,3.756626,-0.164858,0.065519,-0.984139
22,5/18/2024,15:26.6,6,2,"Rodriguez, Luke",10103796,Right,UCLA,"Lavin, Luke",806138,Left,STA_CAR,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.81585,-3.190039,-0.653738,2484.838336,196.450038,12:30,6.85386,0.42285,5.17255,-16.50666,19.36253,5.35398,2.47284,0.25375,81.71478,-6.293889,0.294592,0.431054,,,,,,,,,,,,-2.84488,10.92634,-0.36616,50,6.54431,1.23181,-130.04192,-7.78432,-4.8477,28.51959,-13.55551,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,fc125dc0-154a-11ef-8e6c-cd53dcddf2e2,87.44242,,,8.10107,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,15:26.6,2024-05-18T12:15:26.6031832-07:00,2024-05-18T19:15:26.6031832Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,6020d3d4-ded7-48e4-9cdf-7482f52b34b3,55.32735,-131.20506,14.25979,6.85051,-7.23147,-6.77776,-0.42043,1.42951,-2.42385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,205.909337,42.858308,1821.481032,0.733038,12:45,-0.66879,-0.357654,-0.65177,-40.84404,16.501413,-29.986833,168.521306,0.223439,0.199002,0.0039,-0.979991,0.227999,11.478605,0.0039,0.199002,0.979991,-0.227999,-11.478605,-0.0039,-0.199002,0.979991,-168.521306,-0.223439,-0.199002,-0.0039,-0.979991
23,5/18/2024,15:44.4,6,3,"Rodriguez, Luke",10103796,Right,UCLA,"Lavin, Luke",806138,Left,STA_CAR,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.80671,-2.997708,-0.800621,2519.842605,202.371123,12:45,6.81223,0.54641,5.31019,-15.08654,19.75013,7.64642,2.73822,0.43202,82.70931,-5.853063,0.557071,0.424805,,,,,,,,,,,,-4.05248,11.09674,-0.47948,50,6.52942,1.48315,-131.56543,-7.36353,-7.07795,28.83472,-12.7929,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,06a96530-154b-11ef-8e6c-cd53dcddf2e2,88.72879,,,8.0974,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,15:44.4,2024-05-18T12:15:44.4297944-07:00,2024-05-18T19:15:44.4297944Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,fc0d9076-07d6-4528-b0eb-ed03a67068da,55.19079,-132.6982,14.41736,6.80883,-6.86096,-6.39645,-0.54321,1.76121,-3.53897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,205.658292,43.229187,1836.00725,0.72862,12:45,-0.676594,-0.350881,-0.647382,-46.371198,10.381737,-40.611802,170.582039,-0.604208,0.163626,-0.010545,-0.986466,0.612463,-9.417433,0.010545,-0.163626,0.986466,-0.612463,9.417433,-0.010545,0.163626,0.986466,-170.582039,0.604208,-0.163626,0.010545,-0.986466
24,5/18/2024,16:03.0,6,4,"Rodriguez, Luke",10103796,Right,UCLA,"Lavin, Luke",806138,Left,STA_CAR,Undefined,1,Top,1,1,2,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,1,,76.243,0.456198,1.650447,2566.091231,32.607345,7:00,6.59044,0.39297,5.12082,-67.69338,-17.43654,-12.28804,1.37926,0.92413,69.59487,-11.720909,-0.534304,0.510233,74.24275,-37.551889,45.214409,,,,,4.38003,4.38003,7.879868,0.02503,6.71162,-8.44398,-0.53811,50,6.57989,-2.70457,-110.56,-1.50386,8.14977,23.19842,-42.42739,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,11bc0540-154b-11ef-8e6c-cd53dcddf2e2,73.87292,1.66474,,6.64814,,,,2.81319,1.66474,-0.93645,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,16:03.0,2024-05-18T12:16:02.9643480-07:00,2024-05-18T19:16:02.9643480Z,GroundBall,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,28f95807-463d-4486-b92e-bd5df49bd83e,55.3865,-111.68451,11.59921,6.60294,0.55274,-21.21369,-0.39743,-3.09962,4.07489,,2.81266,60.9455,,,,,,,,1.66532,-66.50933,,,,,,,,-0.93698,61.40335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,16.417607,37.222156,2043.368349,0.796296,6:30,-0.624845,0.229871,0.746142,36.532721,-35.940675,-57.301184,167.155279,0.441248,0.222303,0.007701,-0.974947,0.452572,12.844333,0.007701,0.222303,0.974947,-0.452572,-12.844333,-0.007701,-0.222303,0.974947,-167.155279,-0.441248,-0.222303,-0.007701,-0.974947
26,5/18/2024,17:01.7,7,2,"Rodriguez, Luke",10103796,Right,UCLA,"Becerra, Temo",701530,Right,STA_CAR,Undefined,1,Top,2,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.10521,-1.640324,-1.244269,2720.618754,132.524597,10:30,6.51351,0.62106,5.08461,-32.0936,7.88847,-7.16225,2.29202,-1.14887,77.79302,-7.493909,-2.511487,0.455097,,,,,,,,,,,,3.19823,4.79303,-0.4973,50,6.33309,2.99662,-123.35968,-4.72043,4.90438,25.65203,-24.82413,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,34bff2e0-154b-11ef-8e6c-cd53dcddf2e2,82.82284,,,7.31219,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,17:01.7,2024-05-18T12:17:01.6868568-07:00,2024-05-18T19:17:01.6868568Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,e9a6bfa4-c2e6-493e-8c5c-27057c195bcc,55.41689,-124.481,12.82602,6.51572,-3.63531,-12.41207,-0.6236,2.78224,2.45219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,176.795614,76.251771,646.570993,0.237656,12:00,-0.976255,-0.014526,-0.216136,70.255863,29.233524,78.737271,175.800958,-2.918336,0.073127,-0.050913,-0.996022,2.926177,-4.193586,0.050913,-0.073127,0.996022,-2.926177,4.193586,-0.050913,0.073127,0.996022,-175.800958,2.918336,-0.073127,0.050913,-0.996022
27,5/18/2024,17:23.6,7,3,"Rodriguez, Luke",10103796,Right,UCLA,"Becerra, Temo",701530,Right,STA_CAR,Undefined,1,Top,2,0,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,2,,90.21098,-3.708051,-1.281796,2463.909418,200.393584,12:45,6.81749,0.28277,5.13367,-16.26713,19.41828,6.75827,1.96395,-0.36142,82.02745,-6.763866,-0.085809,0.429949,94.99639,18.643903,6.814218,3403.983813,108.37728,32.45482,18.82143,332.87759,321.98549,15.211435,3.650297,-3.75748,11.14174,-0.168,50,6.45709,2.60687,-130.52863,-8.99957,-6.44113,29.11416,-13.07465,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,41ca9260-154b-11ef-8e6c-cd53dcddf2e2,87.66724,40.70301,,8.18353,,,,1.67812,2.00284,0.35342,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,17:23.6,2024-05-18T12:17:23.6208344-07:00,2024-05-18T19:17:23.6208344Z,LineDrive,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,40a4d55d-f4e5-4b6b-bff0-41101dec85af,55.36797,-131.7205,14.55708,6.81456,-8.46432,-6.53733,-0.28012,2.87056,-3.22057,217.968762,1.67778,131.0955,-22.28646,5.09636,-1.10374,0.23537,-0.0455,0.00604,-0.00035,2.00327,44.52548,-12.53529,-0.60985,0.43265,-0.1428,0.03065,-0.00311,7.00E-05,0.35351,15.6584,5.97155,-2.23027,0.63371,-0.1437,0.02525,-0.00293,0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,204.169686,42.859831,1806.094775,0.73302,12:45,-0.674168,-0.34349,-0.653844,-45.818708,14.565891,-38.672899,172.088991,-1.690046,0.137575,-0.029493,-0.990052,1.706275,-7.907546,0.029493,-0.137575,0.990052,-1.706275,7.907546,-0.029493,0.137575,0.990052,-172.088991,1.690046,-0.137575,0.029493,-0.990052
28,5/18/2024,18:04.3,8,1,"Rodriguez, Luke",10103796,Right,UCLA,"Haskins, Trevor",695579,Right,STA_CAR,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.39446,-1.401521,-1.295177,2700.163037,122.323787,10:00,6.59627,0.37897,5.06822,-35.64293,5.06071,-5.86827,2.30389,-1.33151,77.14946,-7.881868,-2.333431,0.459186,,,,,,,,,,,,2.5304,3.33421,-0.25108,50,6.43508,3.02516,-122.33007,-4.32657,3.81313,25.37983,-27.14961,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,5a0ff360-154b-11ef-8e6c-cd53dcddf2e2,82.08543,,,7.245,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,18:04.3,2024-05-18T12:18:04.3056344-07:00,2024-05-18T19:18:04.3056344Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,1931e8ed-d0f1-4ca6-ab7a-ee357df0d5d7,55.43317,-123.45214,12.68992,6.59982,-3.12625,-13.57481,-0.3811,2.85658,1.90657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,158.325501,79.174308,507.149399,0.187822,11:15,-0.9873,0.045325,-0.152265,60.201072,32.65897,61.934652,163.86689,-7.64777,0.275398,-0.133083,-0.952074,7.957357,-15.985743,0.133083,-0.275398,0.952074,-7.957357,15.985743,-0.133083,0.275398,0.952074,-163.86689,7.64777,-0.275398,0.133083,-0.952074
